areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2021-10-03,15_to_19,17987.3,288058
E92000001,England,nation,2021-10-03,55_to_59,9959.3,184506
E92000001,England,nation,2021-10-03,60_to_64,8555.6,134194
E92000001,England,nation,2021-10-03,65_to_69,6406.3,86339
E92000001,England,nation,2021-10-03,80_to_84,6843.7,43801
E92000001,England,nation,2021-10-03,20_to_24,18091.1,324139
E92000001,England,nation,2021-10-03,75_to_79,5706.9,53307
E92000001,England,nation,2021-10-03,25_to_29,16064.4,309145
E92000001,England,nation,2021-10-03,10_to_14,14236.4,250828
E92000001,England,nation,2021-10-03,35_to_39,13392.0,248150
E92000001,England,nation,2021-10-03,85_to_89,9448.3,33653
E92000001,England,nation,2021-10-03,45_to_49,12037.2,217055
E92000001,England,nation,2021-10-03,90+,13448.7,22802
E92000001,England,nation,2021-10-03,0_to_4,4481.6,74498
E92000001,England,nation,2021-10-03,30_to_34,14798.7,283605
E92000001,England,nation,2021-10-03,40_to_44,13269.0,229590
E92000001,England,nation,2021-10-02,25_to_29,16044.5,308763
E92000001,England,nation,2021-10-02,15_to_19,17899.6,286653
E92000001,England,nation,2021-10-02,5_to_9,7435.0,134897
E92000001,England,nation,2021-10-02,80_to_84,6831.1,43720
E92000001,England,nation,2021-10-02,45_to_49,11989.9,216202
E92000001,England,nation,2021-10-02,60_to_64,8531.5,133815
E92000001,England,nation,2021-10-02,75_to_79,5690.0,53149
E92000001,England,nation,2021-10-02,85_to_89,9436.2,33610
E92000001,England,nation,2021-10-02,70_to_74,5248.7,70539
E92000001,England,nation,2021-10-02,55_to_59,9931.1,183983
E92000001,England,nation,2021-10-02,90+,13435.1,22779
E92000001,England,nation,2021-10-02,30_to_34,14774.4,283139
E92000001,England,nation,2021-10-02,10_to_14,14032.4,247234
E92000001,England,nation,2021-10-02,35_to_39,13361.4,247582
E92000001,England,nation,2021-10-02,40_to_44,13220.5,228750
E92000001,England,nation,2021-10-02,0_to_4,4467.9,74269
E92000001,England,nation,2021-10-02,65_to_69,6388.7,86102
E92000001,England,nation,2021-10-02,50_to_54,11149.6,213105
E92000001,England,nation,2021-10-02,20_to_24,18074.3,323838
E92000001,England,nation,2021-10-01,10_to_14,13895.3,244817
E92000001,England,nation,2021-10-01,35_to_39,13333.7,247069
E92000001,England,nation,2021-10-01,60_to_64,8511.4,133501
E92000001,England,nation,2021-10-01,75_to_79,5674.2,53001
E92000001,England,nation,2021-10-01,70_to_74,5232.1,70315
E92000001,England,nation,2021-10-01,40_to_44,13178.5,228023
E92000001,England,nation,2021-10-01,45_to_49,11950.3,215488
E92000001,England,nation,2021-10-01,0_to_4,4454.3,74043
E92000001,England,nation,2021-10-01,65_to_69,6373.4,85895
E92000001,England,nation,2021-10-01,80_to_84,6821.5,43659
E92000001,England,nation,2021-10-01,30_to_34,14754.3,282753
E92000001,England,nation,2021-10-01,90+,13424.5,22761
E92000001,England,nation,2021-10-01,85_to_89,9425.8,33573
E92000001,England,nation,2021-10-01,25_to_29,16030.1,308485
E92000001,England,nation,2021-10-01,20_to_24,18059.5,323573
E92000001,England,nation,2021-10-01,5_to_9,7377.0,133845
E92000001,England,nation,2021-10-01,55_to_59,9906.1,183519
E92000001,England,nation,2021-10-01,50_to_54,11116.1,212464
E92000001,England,nation,2021-10-01,15_to_19,17835.8,285631
E92000001,England,nation,2021-09-30,80_to_84,6809.0,43579
E92000001,England,nation,2021-09-30,30_to_34,14729.4,282276
E92000001,England,nation,2021-09-30,25_to_29,16010.8,308114
E92000001,England,nation,2021-09-30,90+,13402.7,22724
E92000001,England,nation,2021-09-30,55_to_59,9878.0,183000
E92000001,England,nation,2021-09-30,70_to_74,5213.6,70067
E92000001,England,nation,2021-09-30,45_to_49,11905.4,214679
E92000001,England,nation,2021-09-30,50_to_54,11081.6,211805
E92000001,England,nation,2021-09-30,20_to_24,18045.8,323326
E92000001,England,nation,2021-09-30,5_to_9,7318.7,132788
E92000001,England,nation,2021-09-30,0_to_4,4440.2,73810
E92000001,England,nation,2021-09-30,65_to_69,6352.5,85613
E92000001,England,nation,2021-09-30,15_to_19,17764.0,284482
E92000001,England,nation,2021-09-30,10_to_14,13748.3,242227
E92000001,England,nation,2021-09-30,75_to_79,5656.1,52832
E92000001,England,nation,2021-09-30,85_to_89,9407.3,33507
E92000001,England,nation,2021-09-30,35_to_39,13304.8,246533
E92000001,England,nation,2021-09-30,60_to_64,8490.3,133170
E92000001,England,nation,2021-09-30,40_to_44,13132.9,227235
E92000001,England,nation,2021-09-29,55_to_59,9846.7,182419
E92000001,England,nation,2021-09-29,75_to_79,5636.6,52650
E92000001,England,nation,2021-09-29,90+,13392.7,22707
E92000001,England,nation,2021-09-29,30_to_34,14701.1,281733
E92000001,England,nation,2021-09-29,45_to_49,11856.3,213793
E92000001,England,nation,2021-09-29,50_to_54,11042.1,211050
E92000001,England,nation,2021-09-29,10_to_14,13569.5,239078
E92000001,England,nation,2021-09-29,20_to_24,18027.9,323006
E92000001,England,nation,2021-09-29,65_to_69,6330.5,85317
E92000001,England,nation,2021-09-29,40_to_44,13083.8,226385
E92000001,England,nation,2021-09-29,0_to_4,4424.5,73549
E92000001,England,nation,2021-09-29,85_to_89,9396.0,33467
E92000001,England,nation,2021-09-29,5_to_9,7254.6,131624
E92000001,England,nation,2021-09-29,80_to_84,6794.5,43486
E92000001,England,nation,2021-09-29,15_to_19,17684.0,283200
E92000001,England,nation,2021-09-29,25_to_29,15988.3,307682
E92000001,England,nation,2021-09-29,35_to_39,13273.1,245946
E92000001,England,nation,2021-09-29,70_to_74,5195.9,69829
E92000001,England,nation,2021-09-29,60_to_64,8465.7,132784
E92000001,England,nation,2021-09-28,80_to_84,6777.2,43375
E92000001,England,nation,2021-09-28,30_to_34,14674.6,281226
E92000001,England,nation,2021-09-28,75_to_79,5620.0,52495
